PIDN,Ca,P,pH,SOC,Sand
09gt9UK5,9.6003002533527e-12,1.58044859851298e-06,0.000122887647561349,1.5383406300475e-05,0.944880217015902
0BVvxJ6a,0.9800895718832,0.551609443648501,0.998732298364742,0.0349491390418767,0.000500613009059328
0KbdgApg,0.000179472585620829,0.270519613227691,0.301868801129323,0.215768494180444,0.0103094357223466
0MnuuduB,0.000224116738085217,0.00190932213811727,0.00698787570414802,0.758244282953647,0.000761722651814681
0PcIsF9z,5.56916516828049e-07,5.19566539907326e-05,0.118822465095595,0.0756415072396324,0.0322120748396226
0ShTFLYJ,4.4013308817881e-05,0.00591390818909246,0.00335101717875603,5.21481581987954e-09,0.00819908478168807
0XZh9jka,4.03989728702345e-05,0.00540197889399887,3.98879819531893e-05,0.9669478918982,4.88067143580956e-07
0Y7Wegri,1.0966880528933e-05,0.290799980164896,0.366227917947713,0.00207237264234001,0.844494997901658
0dTqplIM,0.0609273174868978,0.15154257103963,0.999576013849329,0.0514628831720433,0.000408390366902072
0lNiZicC,2.76858635950747e-11,0.000392291500649066,3.30311238935429e-08,2.02487879910305e-07,0.0184228915764109
0rGeJ0QN,2.73839160020216e-07,0.793072379417059,0.0119053970405254,0.161059601369611,0.00523903851510624
0sXI9ytQ,2.9588391508179e-10,0.00447101172611766,0.00982526553736043,4.81355866723486e-07,0.994929577413833
0ukt4aP6,0.443579585235466,0.030159074473471,0.983907387146265,7.25119990854241e-07,0.350682063127392
1AGspb8f,5.53935494770067e-08,0.0728152392770015,0.0901199971781459,0.0269821618651348,8.76804154067832e-06
1Csy0gvE,9.57586880443409e-10,0.00570615019892038,0.212092916873666,1.73136951339037e-07,0.844472702155313
1Ic2hly1,8.2595560058977e-09,0.145748121325116,0.0556596651519254,0.00966426291540631,0.0750147135016648
1PPbaTwt,9.93280069158017e-08,0.00502237792826032,0.0154002329357555,1.22814703261602e-05,0.92324436162788
1SO5VJNy,4.92449608638881e-10,0.00923199722123567,0.0562146110187534,2.12393240118402e-05,0.766713232902762
1arHxK3Y,0.421018808703723,0.99319694904673,0.999953635488519,0.309296218279992,3.11031836389011e-05
1fCW4Bba,7.30989242603161e-05,0.271236076865393,0.549160277774047,0.000141349438510308,0.938165165979109
1qDZNvIm,9.32614680371937e-08,0.00957619962330616,0.0245838369797317,1.47377556822382e-07,0.998716022029403
28LYJC2V,1.19554004257933e-06,0.236473537230664,0.00121548558065585,0.256157612803831,0.000105133008680178
2CzACvQq,0.929638706387989,0.0572619648558966,0.999999706616686,0.0118850332483463,0.0110487648940803
2FT3crfv,4.98774033090532e-05,0.000687526197503014,0.980209803394945,0.117871616880229,0.071277604630351
2Fy2uHVg,1.65811178907706e-08,0.0539398765033692,0.00197323059733809,4.61116199466641e-05,0.00256145079197939
2MkMEApm,2.30696024276612e-08,0.000252475149354208,0.238102233857609,2.25254482465832e-06,0.958105129171253
2NDGWEOe,0.950201575592036,0.698821244542642,0.999897207511242,0.000117305297019319,0.00104251385597733
2NyyCiqn,1.13148697344045e-10,0.00314473387725866,0.0285302676749474,0.000135643364261284,0.854505894128737
2QRzIb84,0.0258890174806863,0.986828919545974,0.999999967772681,0.00023849379216498,0.0760352259099525
2QcbdrUZ,7.96401536300722e-06,0.319486473238929,0.102522532161522,2.79017887384465e-05,0.204638664446021
2YgAimWK,1.78726763365393e-07,0.0350301933468971,0.886826336742132,1.63656739249552e-05,0.939205591057895
2cx85d9H,0.0324302971382449,2.66639692923873e-07,0.303098265972479,0.424542205364832,0.0192578274836882
2homMXMV,2.83898726781025e-08,0.000108462010756417,0.0113986381778539,0.149487636876213,0.543025289133466
2ldLrUtq,3.46494632743994e-10,0.00143945333710339,0.838692668668307,0.000168243195781536,0.0260247240561904
2nsACW6G,1.21845428863023e-06,8.8117094915214e-09,0.000866285724368026,0.879788274032292,2.05483757490755e-10
2yMbVnWc,0.000118526723990633,0.0186257236644401,6.31287494224353e-08,0.999342960432296,0.940412590937181
36r8sgGQ,6.65910875122731e-09,0.00121479028378707,0.0323291806617997,1.08295765653601e-06,0.904990995922779
3NXAXCl3,1.41541399179543e-08,5.91723760360141e-09,0.0276889278107953,0.766985683799193,2.32179111302138e-07
3QG0z6fl,2.88075957202754e-09,6.37291187761399e-05,0.000198800774835672,6.1393509978163e-05,0.984442553817305
3WS8R9qm,8.63011214854561e-07,9.27606818622219e-05,0.00149933585378963,0.99996249051165,7.58784517841788e-11
3fRLm8f5,1.13022203419207e-06,1.36037116758117e-05,0.23590218006021,0.141880936600246,0.0411626006329591
3mZhp1nQ,3.03993261727856e-07,0.142863487380199,0.0244277015905649,3.54704195811397e-06,0.502468912659218
3pikJXRL,4.20062813051696e-09,2.58347513300505e-09,0.00291788187296042,0.6537966111531,1.19972916591274e-10
3pxOEGHL,9.90368377706113e-11,0.000893500811827206,0.00359898814656561,2.03787141461409e-06,0.942659421864395
3ttdV3f5,0.0297790756194662,0.999481578533504,0.0369906927240232,4.57290113318777e-05,0.0273342314888241
3v4X6Mfe,0.727937854555108,0.000110920261125946,0.927352628159511,3.24378608270368e-06,0.775860006954921
3wORuPiv,1.56363535010477e-10,0.0157521700263054,0.0060876981924388,0.0367585068244829,0.0786498123450596
43EfrxZj,0.00627737709136133,0.616847528116058,0.130637900674362,0.186760946870033,0.000931070099588382
457Vwm21,0.0466078905151861,0.990109230311836,0.540534268862128,0.789781007411413,0.0100325824490898
46KNnOdx,2.56766272270893e-08,0.0778224136365805,0.000364867169388082,0.0188771314448011,0.107714210951657
